ID,文章,一致数,総アノテーション数,一致率 (%),,一致率 (6分のいくつか）,Gの一致率の数
7,"A: いやー、今年の夏は暑いですね。そうめんが食卓に上る頻度も自然と増えますよね。
B: 本当ですね。つゆの味付け、毎年悩みますよ。今年はちょっと趣向を変えようかと思ってるんです。
A: お、それはいいですね！どんな風に変えられるんですか？例えば、柑橘系とか？
B: いえいえ、今回はもっと「究極のシンプル」を目指そうと思って。市販のめんつゆを、そのまま使おうかと。",6,6,100.0%,,6,15
23,"A: こんにちは、〇〇さん。最近、健康診断の結果はどうでしたか？
B: あ、Aさん！こんにちは。いやー、去年に比べてちょっとだけ…体重が増えちゃいましたね。運動不足がたたったかな。
A: そうですか。まあ、年齢とともに体も変化しますもんね。私も気をつけないと。
B: そうなんですよ。でも、昔と比べてちょっとふっくらした方が健康的だって言う人もいますしね！",6,6,100.0%,,5,16
33,"A: いやー、今年の夏は本当に暑いですね。何か涼しくなるような飲み物でも飲みたくなりますよ。
B: そうですね。私は最近、キンキンに冷えた麦茶が最高だと気づきました。シンプルだけど、体に染みるんですよね。
A: 麦茶もいいですが、私はどうしても炭酸飲料に手が伸びちゃいますね。シュワシュワする感じが、暑さを吹き飛ばしてくれる気がして。
B: 分かりますよ。でも、たまには辛いもので汗をかくのも、夏ならではの楽しみ方ではないでしょうか？例えば、激辛麻婆豆腐とか。",6,6,100.0%,,4,22
38,"A: いやー、最近の天気は本当に読めないですね。昨日なんて、急に土砂降りでしたから。
B: 本当ですね。洗濯物も外に干せなくて困ってしまいます。そういえば、Aさんは最近洗濯機を買い替えたんですよね？
A: ええ、ついに買い替えましたよ。最新のAI機能付きで、乾燥まで自動でやってくれるんです。もう洗濯板でゴシゴシする時代じゃないですね（笑）
B: それはすごいですね！AI搭載とは。私の洗濯機なんて、ただ水と洗剤を入れてボタンを押すだけの原始的なものですよ。",6,6,100.0%,,3,22
40,"A: 先日の大雨、本当にすごかったですね。せっかく計画していた旅行が直前で中止になってしまって、残念でした。
B: 本当ですよ。私も楽しみにしていたのに、まさかあんなことになるとは思いませんでした。天気ばかりはどうしようもないですね。
A: そうですね。もう、水辺の旅行はこりごりかもしれません。次は、もっと安定した場所を選びたいですね。",6,6,100.0%,,2,11
44,"A: いやー、先日、自宅でゴキブリに遭遇したんですよ。もう、心臓が飛び出るかと思いました。
B: それは大変でしたね！私もゴキブリは苦手ですが、それ以上に、巨大なものを見ると足がすくんでしまうんです。例えば、巨大な仏像とか。
A: 分かります、分かります！あの、どこからどう見ても「大きい」としか言いようのない存在感は、畏敬の念すら抱かせますよね。",6,6,100.0%,,1,9
46,"A: 今日のランチ、何にするか決まりましたか？私は軽めに済ませたい気分です。
B: んー、まだ迷ってるんだよね。でも、なんかちょっと飲みたい気分。ビールでもあれば最高なんだけど、昼だしなぁ。
A: お昼からの飲酒は、お仕事に影響が出ないか心配ですね。私はお水か、せいぜい炭酸水くらいにしておきます。
B: 炭酸水？ へぇ、健康志向だね！ 私はどうせなら、もっとこう、パンチのあるものが飲みたいなって思っちゃうんだよな。",6,6,100.0%,,0,4
50,"A: 今日の夕食、何にしようか迷っています。ステーキでも食べたい気分なんですが、付け合わせに悩むんですよね。
B: ステーキ、いいですね！私ですか？最近は健康を意識して、野菜中心の食事を心がけているんですよ。なので、ステーキの付け合わせなら、やっぱりたっぷりの温野菜がおすすめです。
A: 温野菜ですか。確かにヘルシーでいいかもしれませんね。でも、ステーキにはフライドポテトとか、ちょっとジャンクなものが食べたくなる時もあるんですよね。",6,6,100.0%,,,
58,"A: 最近、仕事の合間にコーヒーを飲むのが習慣になってきました。
B: それは良い習慣ですね。私も集中したい時はコーヒーをよく飲みますよ。
A: ありがとうございます。ついつい、甘いものも一緒に食べたくなってしまうのですが、Bさんはどうですか？
B: 私は甘いものよりも、むしろ辛いものが食べたくなりますね。コーヒーとセットで、刺激を求めているのかもしれません。",6,6,100.0%,,,
60,"A: 最近、運動を始めようと思っているのですが、なかなか習慣にならなくて。
B: 分かります。私もジムに通おうと思ったんですが、会員証をどこに置いたか忘れてしまって、結局行けずじまいでした。
A: あらまあ。でも、無理のない範囲で続けるのが大事ですよね。例えば、朝ドラを観る前にストレッチをするとか。
B: それは良いアイデアですね！朝ドラを見ながら、布団の中でゴロゴロするだけでも運動になるかもしれませんし。",6,6,100.0%,,,
